signature,maxTargetSdk,publicAlternatives,trackingBug
|Landroid/bluetooth/BluetoothMapClient;->sendMessage(Landroid/bluetooth/BluetoothDevice;[Landroid/net/Uri;Ljava/lang/String;Landroid/app/PendingIntent;Landroid/app/PendingIntent;)Z|,|30|,||,|170729553|
|Landroid/bluetooth/BluetoothPan;-><init>(Landroid/content/Context;Landroid/bluetooth/BluetoothAdapter;)V|,||,||,||
|Landroid/bluetooth/BluetoothPan;->close()V|,||,||,||
|Landroid/bluetooth/BluetoothPan;->connect(Landroid/bluetooth/BluetoothDevice;)Z|,|30|,||,|170729553|
|Landroid/bluetooth/BluetoothPan;->disconnect(Landroid/bluetooth/BluetoothDevice;)Z|,||,||,||
|Landroid/bluetooth/BluetoothPan;->isEnabled()Z|,||,||,||
|Landroid/bluetooth/BluetoothPan;->isValidDevice(Landroid/bluetooth/BluetoothDevice;)Z|,||,||,||
|Landroid/bluetooth/BluetoothPan;->log(Ljava/lang/String;)V|,||,||,||
|Landroid/bluetooth/BluetoothPbap;->disconnect(Landroid/bluetooth/BluetoothDevice;)Z|,|30|,||,|170729553|
|Landroid/bluetooth/BluetoothProfile;->PRIORITY_AUTO_CONNECT:I|,|30|,||,|170729553|
|Landroid/bluetooth/BluetoothProfile;->PRIORITY_UNDEFINED:I|,||,||,||
|Landroid/bluetooth/BluetoothSap;->disconnect(Landroid/bluetooth/BluetoothDevice;)Z|,|30|,||,|170729553|
|Landroid/bluetooth/BluetoothServerSocket;->mSocket:Landroid/bluetooth/BluetoothSocket;|,||,|Use public {@link BluetoothServerSocket} API instead.|,||
|Landroid/bluetooth/BluetoothSocket;->EADDRINUSE:I|,|30|,||,|170729553|
|Landroid/bluetooth/BluetoothSocket;->mPfd:Landroid/os/ParcelFileDescriptor;|,||,|Use {@link BluetoothSocket} public API instead.|,||
|Landroid/bluetooth/BluetoothSocket;->mPort:I|,||,||,||
|Landroid/bluetooth/BluetoothSocket;->mSocket:Landroid/net/LocalSocket;|,||,||,||
|Landroid/bluetooth/BluetoothUuid;->is16BitUuid(Landroid/os/ParcelUuid;)Z|,||,||,||
|Landroid/bluetooth/BluetoothUuid;->is32BitUuid(Landroid/os/ParcelUuid;)Z|,||,||,||
|Landroid/bluetooth/le/ScanRecord;->parseFromBytes([B)Landroid/bluetooth/le/ScanRecord;|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->a2dpAidlEncodingInterval()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->a2dpAsyncAllowLowLatency()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->a2dpCheckLeaIsoChannel()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->a2dpConcurrentSourceSink()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->a2dpIgnoreStartedWhenResponder()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->a2dpOffloadCodecExtensibility()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->a2dpServiceLooper()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->absVolumeSdpConflict()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->airplaneModeXBleOn()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->allowSwitchingHidAndHogp()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->androidHeadtrackerService()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->apiGetConnectionStateUsingIdentityAddress()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->ashaAsrc()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->ashaEncryptedL2cCoc()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->asymmetricPhyForUnidirectionalCis()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->audioPortBinderInheritRt()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->audioRoutingCentralization()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->autoConnectOnMultipleHfpWhenNoA2dpDevice()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->autoOnFeature()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->avdtpErrorCodes()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->avoidStaticLoadingOfNative()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->avrcpConnectA2dpDelayed()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->avrcpSdpRecords()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->bleCheckDataLengthOnLegacyAdvertising()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->bleContextMapRemoveFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->bleGattServerUseAddressTypeInConnection()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->bleScanAdvMetricsRedesign()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->bluetoothPowerTelemetry()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->bondTransportAfterBondCancelFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->breakUhidPollingEarly()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->browsingRefactor()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->btSocketApiL2capCid()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->btSystemContextReport()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->btaAgCmdBrsfAllowUint32()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->btaAvSetconfigRejTypeConfusion()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->btaAvUsePeerCodec()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->btaDmDeferDeviceDiscoveryStateChangeUntilRnrComplete()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->btaDmDiscoverBoth()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->cancelPairingOnlyOnDisconnectedTransport()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->channelSounding()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->channelSoundingInStack()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->cleanupLeOnlyDeviceType()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->clearCollisionStateOnPairingComplete()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->continueServiceDiscoveryWhenCancelDeviceDiscovery()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->deviceIotConfigLogging()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->doNotReplaceExistingCodWithUncategorizedCod()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->dumpsysAcquireStackWhenExecuting()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->enableHapByDefault()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->enableSniffOffload()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->encryptedAdvertisingData()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->ensureValidAdvFlag()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->enumerateGattErrors()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->explicitKillFromSystemServer()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->fallbackWhenWiredAudioDisconnected()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->fastBindToApp()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->fixHfpQual19()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->fixLePairingPasskeyEntryBypass()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->fixNonconnectableScannableAdvertisement()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->flossSeparateHostPrivacyAndLlprivacy()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->gattCleanupRestrictedHandles()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->gattClientDynamicAllocation()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->gattDropAclOnOutOfResourcesFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->gattFixDeviceBusy()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->gattFixMultipleDirectConnect()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->gattReconnectOnBtOnFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->gattRediscoverOnCanceled()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->gdxDeviceDiscovery()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->gdxServiceDiscovery()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->getAddressTypeApi()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->guestModeBond()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->handleDeliverySendingFailureEvents()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->headsetClientAmHfVolumeSymmetric()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->headtrackerCodecCapability()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->headtrackerSduSize()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->hfpCodecAptxVoice()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->hidReportQueuing()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->higherL2capFlushThreshold()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->identityAddressNullIfUnknown()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->ignoreNotifyWhenAlreadyConnected()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->isScoManagedByAudio()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->keepHfpActiveDuringLeaudioHandover()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->keepStoppedMediaBrowserService()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->keyMissingAsOrderedBroadcast()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->keyMissingBroadcast()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->keyMissingClassicDevice()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->killInsteadOfExit()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->l2capLeDoNotAdjustMinInterval()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->l2capPCcbCheckRewrite()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->l2capTxCompleteCbInfo()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->l2capUpdateExistingConnIntervalWithBaseInterval()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leAudioBaseEcosystemInterval()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leAudioSupportUnidirectionalVoiceAssistant()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->lePeriodicScanningReassembler()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leScanFixRemoteException()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leScanUseAddressType()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leScanUseUidForImportance()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioAddSamplingFrequencies()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioAllowLeaudioOnlyDevices()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioAllowedContextMask()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioBigDependsOnAudioState()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioBroadcastAssistantHandleCommandStatuses()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioBroadcastAssistantPeripheralEntrustment()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioBroadcastAudioHandoverPolicies()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioBroadcastDestroyAfterTimeout()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioBroadcastExtractPeriodicScannerFromStateMachine()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioBroadcastFeatureSupport()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioBroadcastMonitorSourceSyncStatus()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioBroadcastUpdateMetadataCallback()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioBroadcastVolumeControlForConnectedDevices()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioBroadcastVolumeControlWithSetVolume()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioCallStartScanDirectly()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioCallbackOnGroupStreamStatus()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioCodecConfigCallbackOrderFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioDynamicSpatialAudio()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioGettingActiveStateSupport()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioHalClientAsrc()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioMonoLocationErrata()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioMulticodecAidlSupport()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioMultipleVocsInstancesApi()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioNoContextValidateStreamingRequest()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioQuickLeaudioToggleSwitchFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioResumeActiveAfterHfpHandover()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioStartRequestStateMutexCheck()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioStartStreamRaceFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioSynchronizeStart()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->leaudioUseAudioModeListener()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->loadDidConfigFromSysprops()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->maintainCallIndexAfterConference()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->mapLimitNotification()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->mcpAllowPlayWithoutActivePlayer()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->metadataApiInactiveAudioDeviceUponConnection()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->msftAddrTrackingQuirk()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->nrpaNonConnectableAdv()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->oppFixMultipleNotificationsIssues()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->oppIgnoreContentObserverAfterServiceStop()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->oppStartActivityDirectlyFromNotification()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->overrideContextToSpecifyDeviceId()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->pairingNameDiscoveryAddresssMismatch()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->pairingOnUnknownTransport()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->phyToNative()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->pretendNetworkService()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->preventHogpReconnectWhenConnected()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->randomizeDeviceLevelMediaIds()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->readModelNumFix()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->removeAddressMapOnUnbond()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->resetAfterCollision()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->resetAgStateOnCollision()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->respectBleScanSetting()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->retryEscoWithZeroRetransmissionEffort()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->rfcommAlwaysUseMitm()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->rfcommBypassPostToMain()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->rfcommPreventUnnecessaryCollisions()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->rnrResetStateAtCancel()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->rnrStoreDeviceType()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->rnrValidatePageScanRepetitionMode()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->runBleAudioTicksInWorkerThread()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->runClockRecoveryInWorkerThread()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->saveInitialHidConnectionPolicy()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->scanManagerRefactor()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->scanRecordManufacturerDataMerge()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->secDontClearKeysOnEncryptionErr()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->separateServiceAndDeviceDiscovery()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->settingsCanControlHapPreset()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->sinkAudioPolicyHandover()Z|,||,||,||
|Lcom/android/bluetooth/flags/CustomFeatureFlags;->skipUnknownRobustCaching()Z|,||,||,||
